name,price,unit,image_url,seller_id
Fresh Apples,120,kg,/images/sample-product.svg,
Organic Tomatoes,80,kg,/images/sample-product.svg,
Basmati Rice,150,kg,/images/Basmati Rice.jpg,
Whole Wheat Flour,45,kg,/images/sample-product.svg,
Organic Milk,60,liter,/images/sample-product.svg,
Fresh Paneer,300,kg,/images/sample-product.svg,
Mixed Vegetables Pack,100,pack,/images/sample-product.svg,
Assorted Fruits Basket,250,basket,/images/sample-product.svg,
Organic Honey,220,500g,/images/honey.jpg,
Cold Pressed Oil,180,liter,/images/soyabin oil.jpg,
Amul Pure Ghee,560,kg,/images/amul-gee.jpg,
Tata Salt,20,kg,/images/salt.jpg,
Brown Sugar,85,kg,/images/sample-product.svg,
Organic Pulses Mix,130,kg,/images/sample-product.svg,
Fresh Coconut,40,piece,/images/sample-product.svg,
Dried Red Chillies,200,kg,/images/sample-product.svg
